iter	Logloss
0	0.6439315574
1	0.6058140976
2	0.5725978201
3	0.5445218148
4	0.513581139
5	0.4884198881
6	0.4730912119
7	0.4569696519
8	0.4401342704
9	0.4236560417
10	0.4131587473
11	0.3998139375
12	0.3949956599
13	0.3878121043
14	0.3740281964
15	0.368670051
16	0.3614165933
17	0.3509591405
18	0.3426320822
19	0.3344241632
20	0.3287011659
21	0.3243676136
22	0.3185234867
23	0.3125448024
24	0.3102380214
25	0.3019679392
26	0.2982614291
27	0.2918045231
28	0.2847756744
29	0.2806275581
30	0.2739465637
31	0.2639531358
32	0.2583933579
33	0.2520757815
34	0.2447479188
35	0.2387523896
36	0.2324746456
37	0.2266664842
38	0.2227663154
39	0.2196822805
40	0.2158165619
41	0.2104414997
42	0.2059710719
43	0.2019888336
44	0.1990375188
45	0.1966150179
46	0.1921318388
47	0.1885412287
48	0.186263149
49	0.1833007064
50	0.1806555802
51	0.1772101238
52	0.1736615583
53	0.1698674151
54	0.1641119019
55	0.1612541795
56	0.1602838461
57	0.159399972
58	0.1543704846
59	0.1517851556
60	0.1509339267
61	0.1459700527
62	0.1432378077
63	0.1417403239
64	0.1379316086
65	0.1368448265
66	0.1359401759
67	0.1329077473
68	0.1314478172
69	0.1285146677
70	0.1274004534
71	0.1252724772
72	0.1240345113
73	0.1212201827
74	0.1204852518
75	0.1193561988
76	0.1171039852
77	0.1157671625
78	0.115430561
79	0.1132901175
80	0.1105731569
81	0.1096763934
82	0.1084109971
83	0.1073805892
84	0.1065265575
85	0.10587408
86	0.1046457034
87	0.101370932
88	0.09896354066
89	0.09865499554
90	0.0978379348
91	0.09746598555
92	0.09618644173
93	0.09391379047
94	0.09247888937
95	0.09224315372
96	0.0899113964
97	0.08790471521
98	0.0868377521
99	0.08450585909
100	0.08212336523
101	0.08162478855
102	0.07955148188
103	0.07695652277
104	0.07595708792
105	0.07481877253
106	0.0729189936
107	0.07055164164
108	0.07034930114
109	0.06887608748
110	0.06819228076
111	0.06728725254
112	0.06600686781
113	0.06555410508
114	0.06493505209
115	0.06399988811
116	0.06221656178
117	0.06196261265
118	0.06021808355
119	0.05926650832
120	0.0589814929
121	0.05841058711
122	0.0574886996
123	0.05706231668
124	0.05686795896
125	0.05580789053
126	0.05487552599
127	0.05442677438
128	0.05431262041
129	0.05376505761
130	0.05323323972
131	0.05199241524
132	0.05188147127
133	0.05179243953
134	0.05170958517
135	0.05053398719
136	0.05039755853
137	0.04966202618
138	0.04837121946
139	0.04714021301
140	0.04639463445
141	0.04534475962
142	0.04454510652
143	0.04403744405
144	0.04312441414
145	0.04296084488
146	0.04289742617
147	0.04204429656
148	0.04124624106
149	0.04114748898
150	0.04041396147
151	0.03974329969
152	0.03963402813
153	0.03937166888
154	0.03918906726
155	0.03871889229
156	0.03799604008
157	0.03739100239
158	0.03683279824
159	0.03612711225
160	0.03561498337
161	0.03491242071
162	0.03454545822
163	0.03394723926
164	0.03354712538
165	0.03333089525
166	0.03323547364
167	0.03283883603
168	0.03276273633
169	0.03257284789
170	0.03210887606
171	0.03199950005
172	0.03150498428
173	0.03079638047
174	0.03050448381
175	0.0301647362
176	0.02946433465
177	0.02904653764
178	0.02885555129
179	0.02856820012
180	0.02823177975
181	0.02755625672
182	0.02742905528
183	0.02702233371
184	0.02659882836
185	0.02618519771
186	0.02606559652
187	0.02579384034
188	0.02541507911
189	0.02523208986
190	0.0250408947
191	0.02470951824
192	0.02461469805
193	0.02455976481
194	0.02442791278
195	0.02439536137
196	0.02403523739
197	0.02364341165
198	0.02359430507
199	0.02350415806
200	0.02346083194
201	0.0230336582
202	0.02283108926
203	0.02242495651
204	0.02212615909
205	0.02177889383
206	0.02170867517
207	0.02139878934
208	0.02136764625
209	0.02120749394
210	0.02095571097
211	0.0208105876
212	0.02048641612
213	0.02038938424
214	0.02034760006
215	0.02010036935
216	0.02000331667
217	0.01989997413
218	0.01972972823
219	0.019671152
220	0.01949908174
221	0.0192854038
222	0.01900735324
223	0.01897233187
224	0.01884898407
225	0.01861426974
226	0.01859231991
227	0.01856774136
228	0.01852277779
229	0.01828551494
230	0.01814031888
231	0.01798945893
232	0.01796197383
233	0.01775482251
234	0.01772757534
235	0.01769983536
236	0.01749211214
237	0.01746594599
238	0.01734364271
239	0.01733176753
240	0.01717545601
241	0.01711997759
242	0.01701076051
243	0.01698197538
244	0.01671322488
245	0.01645621261
246	0.01640794013
247	0.01637427378
248	0.01625295018
249	0.01608037512
250	0.01588601859
251	0.01569956295
252	0.01568004202
253	0.01566602324
254	0.01560127058
255	0.01554514833
256	0.01537094782
257	0.01530647329
258	0.01516277446
259	0.01499000405
260	0.01494569021
261	0.01488265064
262	0.01467385761
263	0.01461987486
264	0.01453877896
265	0.01437349581
266	0.0141800897
267	0.01413784681
268	0.01409323405
269	0.01392112114
270	0.0139024039
271	0.01376807082
272	0.01373350567
273	0.01368002688
274	0.01353777231
275	0.01331663718
276	0.01326975108
277	0.01313524334
278	0.01311269953
279	0.01292148943
280	0.01288235531
281	0.01283272998
282	0.01276481137
283	0.01263289921
284	0.01248463966
285	0.01247085966
286	0.01236689081
287	0.01226746687
288	0.01219502687
289	0.01216917082
290	0.01201848229
291	0.01200943405
292	0.01197854609
293	0.01194654493
294	0.01185170792
295	0.01181502027
296	0.01172933727
297	0.01172206248
298	0.01169842142
299	0.01152451561
300	0.01147516905
301	0.01146887645
302	0.01133519749
303	0.01125954167
304	0.01124754055
305	0.01114486629
306	0.01111001725
307	0.01101312357
308	0.01100020944
309	0.01093183608
310	0.01084332802
311	0.01079721861
312	0.01074243193
313	0.01064251208
314	0.01060656953
315	0.01057295132
316	0.01048184051
317	0.01037785983
318	0.01033520091
319	0.01026882277
320	0.01023744275
321	0.01015128065
322	0.01009947945
323	0.01001169029
324	0.00994541464
325	0.009861718733
326	0.009850810863
327	0.009818918193
328	0.009758307032
329	0.009745032885
330	0.00969422743
331	0.009623762724
